"Head_Coach","Coach","weight","group","group_count","lrole","tW","tPyW","tg_hc","ftm","ltm","fy_hc","ly_hc","fy_a","ly_a","TYr","nw","pyw500","above500","odo","cord","lodo","lcord"
"Dan Quinn","Matt LaFleur",2,"aOC",2,"aOC",43,44.58,85,"ATL","ATL",2015,2020,2015,2016,2,1,1,1,1,0,1,0
"Dan Reeves","Chan Gailey",11,"aOC",7,"OC",190,179.5,357,"DEN","ATL",1981,2003,1985,1990,6,1.83333333333333,1,1,1,0,1,1
"Dan Reeves","Dennis Allen",2,"aDC",2,"aDC",190,179.5,357,"DEN","ATL",1981,2003,2002,2003,2,1,1,1,2,0,2,0
"Dan Reeves","Mike Nolan",16,"aDC",6,"DC",190,179.5,357,"DEN","ATL",1981,2003,1987,1996,10,1.6,1,1,2,0,2,1
"Dan Reeves","Mike Shanahan",4,"OC",3,"OC",190,179.5,357,"DEN","ATL",1981,2003,1984,1987,4,1,1,1,1,1,1,1
"Dan Reeves","Rod Dowhower",2,"OC",2,"OC",190,179.5,357,"DEN","ATL",1981,2003,1981,1982,2,1,1,1,1,1,1,1
"Dan Reeves","Wade Phillips",4,"DC",4,"DC",190,179.5,357,"DEN","ATL",1981,2003,1989,1992,4,1,1,1,2,1,2,1
"Darryl Rogers","Wayne Fontes",4,"DC",4,"DC",18,20.18,58,"DET","DET",1985,1988,1985,1988,4,1,0,0,2,1,2,1
"Dave Campo","Mike Zimmer",3,"DC",3,"DC",15,15.56,48,"DAL","DAL",2000,2002,2000,2002,3,1,0,0,2,1,2,1
"Dave Wannstedt","Dave McGinnis",3,"aDC",3,"aDC",82,83.41,169,"CHI","MIA",1993,2004,1993,1995,3,1,0,0,2,0,2,0
"Dave Wannstedt","Greg Schiano",3,"aDC",3,"aDC",82,83.41,169,"CHI","MIA",1993,2004,1996,1998,3,1,0,0,2,0,2,0
"Dave Wannstedt","Marc Trestman",1,"aHC",1,"aHC",82,83.41,169,"CHI","MIA",1993,2004,2004,2004,1,1,0,0,3,0,3,0
"Dave Wannstedt","Ron Rivera",2,"aDC",2,"aDC",82,83.41,169,"CHI","MIA",1993,2004,1997,1998,2,1,0,0,2,0,2,0
"David Shula","Gary Moeller",2,"aOC",2,"aOC",19,23.44,71,"CIN","CIN",1992,1996,1995,1996,2,1,0,0,1,0,1,0
"Dennis Erickson","Dan Quinn",2,"aDC",2,"aDC",40,44.71,96,"SEA","SF",1995,2004,2003,2004,2,1,0,0,2,0,2,0
"Dennis Erickson","Jim Zorn",1,"aOC",1,"aOC",40,44.71,96,"SEA","SF",1995,2004,1997,1997,1,1,0,0,1,0,1,0
"Dennis Green","Brian Billick",8,"OC",6,"OC",113,107.83,205,"MIN","ARI",1992,2006,1992,1998,7,1.14285714285714,1,1,1,1,1,1
"Dennis Green","Mike Tice",6,"aOC",6,"aOC",113,107.83,205,"MIN","ARI",1992,2006,1996,2001,6,1,1,1,1,0,1,0
"Dennis Green","Tony Dungy",4,"DC",4,"DC",113,107.83,205,"MIN","ARI",1992,2006,1992,1995,4,1,1,1,2,1,2,1
"Dick Jauron","Todd Haley",3,"aOC",3,"aOC",60,57.61,142,"CHI","BUF",1999,2009,2001,2003,3,1,0,0,1,0,1,0
"Dick Nolan","Ed Hughes",3,"aOC",2,"OC",69,77.37,157,"SF","NO",1968,1980,1968,1970,3,1,0,0,1,0,1,1
"Dick Nolan","Ken Meyer",1,"aOC",1,"aOC",69,77.37,157,"SF","NO",1968,1980,1968,1968,1,1,0,0,1,0,1,0
"Dick Nolan","Paul Wiggin",7,"aDC",6,"DC",69,77.37,157,"SF","NO",1968,1980,1968,1974,7,1,0,0,2,0,2,1
"Dick Nolan","Rich Brooks",2,"aDC",2,"aDC",69,77.37,157,"SF","NO",1968,1980,1974,1975,2,1,0,0,2,0,2,0
"Dick Vermeil","Fred Bruney",6,"aDC",6,"aDC",120,130.87,229,"PHI","KC",1976,2005,1977,1982,6,1,1,1,2,0,2,0
"Dick Vermeil","Mike Martz",1,"OC",1,"OC",120,130.87,229,"PHI","KC",1976,2005,1999,1999,1,1,1,1,1,1,1,1
"Dick Vermeil","Rod Rust",2,"aDC",2,"aDC",120,130.87,229,"PHI","KC",1976,2005,1976,1977,2,1,1,1,2,0,2,0
"Dom Capers","Robert Saleh",1,"Intern",1,"Intern",48,50.75,128,"CAR","HOU",1995,2005,2005,2005,1,1,0,0,3,0,3,0
"Dom Capers","Vic Fangio",8,"DC",8,"DC",48,50.75,128,"CAR","HOU",1995,2005,1995,2005,8,1,0,0,2,1,2,1
"Don Coryell","Al Saunders",3,"aOC",3,"aOC",111,108.94,195,"ARI","LAC",1973,1986,1983,1985,3,1,1,1,1,0,1,0
"Don Coryell","Gunther Cunningham",2,"aDC",2,"aDC",111,108.94,195,"ARI","LAC",1973,1986,1985,1986,2,1,1,1,2,0,2,0
"Don Coryell","Jim Hanifan",7,"aOC",6,"aOC",111,108.94,195,"ARI","LAC",1973,1986,1973,1979,6,1.16666666666667,1,1,1,0,1,0
"Don Coryell","Jim Mora",1,"aDC",1,"aDC",111,108.94,195,"ARI","LAC",1973,1986,1985,1985,1,1,1,1,2,0,2,0
"Don Coryell","Joe Gibbs",7,"aOC",5,"OC",111,108.94,195,"ARI","LAC",1973,1986,1973,1980,7,1,1,1,1,0,1,1
"Don Coryell","Ray Perkins",1,"OC",1,"OC",111,108.94,195,"ARI","LAC",1973,1986,1978,1978,1,1,1,1,1,1,1,1
"Don Coryell","Rod Dowhower",1,"aOC",1,"aOC",111,108.94,195,"ARI","LAC",1973,1986,1973,1973,1,1,1,1,1,0,1,0
"Don McCafferty","Hank Bullough",3,"aDC",3,"aDC",28,31.16,47,"IND","DET",1970,1973,1970,1972,3,1,1,1,2,0,2,0
"Don McCafferty","John Sandusky",2,"aDC",2,"aDC",28,31.16,47,"IND","DET",1970,1973,1970,1971,2,1,1,1,2,0,2,0
"Don McCafferty","Raymond Berry",1,"aOC",1,"aOC",28,31.16,47,"IND","DET",1970,1973,1973,1973,1,1,1,1,1,0,1,0
"Don McCafferty","Red Miller",2,"aOC",2,"aOC",28,31.16,47,"IND","DET",1970,1973,1971,1972,2,1,1,1,1,0,1,0
"Don McCafferty","Rick Forzano",1,"aOC",1,"aOC",28,31.16,47,"IND","DET",1970,1973,1973,1973,1,1,1,1,1,0,1,0
"Don Shula","Bill Arnsparger",12,"aDC",7,"DC",298,290.64,448,"IND","MIA",1966,1995,1966,1973,8,1.5,1,1,2,0,2,1
"Don Shula","Chuck Noll",3,"aDC",3,"aDC",298,290.64,448,"IND","MIA",1966,1995,1966,1968,3,1,1,1,2,0,2,0
"Don Shula","Dan Henning",2,"aOC",2,"aOC",298,290.64,448,"IND","MIA",1966,1995,1979,1980,2,1,1,1,1,0,1,0
"Don Shula","David Shula",10,"aOC",10,"aOC",298,290.64,448,"IND","MIA",1966,1995,1982,1988,7,1.42857142857143,1,1,1,0,1,0
"Don Shula","Don McCafferty",4,"aOC",4,"aOC",298,290.64,448,"IND","MIA",1966,1995,1966,1969,4,1,1,1,1,0,1,0
"Don Shula","Howard Schnellenberger",3,"OC",3,"OC",298,290.64,448,"IND","MIA",1966,1995,1970,1972,3,1,1,1,1,1,1,1
"Don Shula","John Sandusky",4,"aOC",4,"aOC",298,290.64,448,"IND","MIA",1966,1995,1966,1969,4,1,1,1,1,0,1,0
"Don Shula","Monte Clark",6,"aOC",5,"aOC",298,290.64,448,"IND","MIA",1966,1995,1970,1975,6,1,1,1,1,0,1,0
"Doug Marrone","Mike Pettine",1,"DC",1,"DC",38,44.58,98,"BUF","JAX",2013,2020,2013,2013,1,1,0,0,2,1,2,1
"Doug Pederson","Frank Reich",2,"OC",2,"OC",51,53.94,97,"PHI","JAX",2016,2022,2016,2017,2,1,1,1,1,1,1,1
"Ed Khayat","Walt Michaels",1,"DC",1,"DC",8,7.19,25,"PHI","PHI",1971,1972,1972,1972,1,1,0,0,2,1,2,1
"Eric Mangini","Dan Quinn",2,"aDC",2,"aDC",33,33.68,80,"NYJ","CLE",2006,2010,2007,2008,2,1,0,0,2,0,2,0
"Forrest Gregg","Bruce Coslet",3,"aOC",3,"aOC",75,75.41,161,"CLE","GB",1975,1987,1981,1983,3,1,0,0,1,0,1,0
"Forrest Gregg","Dick Jauron",2,"aDC",2,"aDC",75,75.41,161,"CLE","GB",1975,1987,1986,1987,2,1,0,0,2,0,2,0
"Forrest Gregg","Dick LeBeau",4,"aDC",4,"aDC",75,75.41,161,"CLE","GB",1975,1987,1980,1983,4,1,0,0,2,0,2,0
"Forrest Gregg","Frank Gansz",2,"aOC",1,"aSTC",75,75.41,161,"CLE","GB",1975,1987,1980,1980,1,2,0,0,1,0,3,0
"Forrest Gregg","Hank Bullough",8,"aDC",4,"DC",75,75.41,161,"CLE","GB",1975,1987,1980,1983,4,2,0,0,2,0,2,1
"Forrest Gregg","Lindy Infante",3,"OC",2,"OC",75,75.41,161,"CLE","GB",1975,1987,1980,1982,3,1,0,0,1,1,1,1
"Forrest Gregg","Raymond Berry",2,"aOC",2,"aOC",75,75.41,161,"CLE","GB",1975,1987,1976,1977,2,1,0,0,1,0,1,0
"Forrest Gregg","Tom Coughlin",2,"aOC",2,"aOC",75,75.41,161,"CLE","GB",1975,1987,1986,1987,2,1,0,0,1,0,1,0
"Frank Gansz","Rod Rust",1,"DC",1,"DC",8,10.41,31,"KC","KC",1987,1988,1988,1988,1,1,0,0,2,1,2,1
"Frank Kush","Bud Carson",1,"DC",1,"DC",11,9.85,40,"IND","IND",1982,1984,1982,1982,1,1,0,0,2,1,2,1
"Frank Kush","Gunther Cunningham",6,"aDC",6,"aDC",11,9.85,40,"IND","IND",1982,1984,1982,1984,3,2,0,0,2,0,2,0
"Frank Kush","Hal Hunter",2,"aOC",2,"aOC",11,9.85,40,"IND","IND",1982,1984,1982,1983,2,1,0,0,1,0,1,0
"Frank Kush","Rick Venturi",3,"aDC",2,"DC",11,9.85,40,"IND","IND",1982,1984,1982,1984,3,1,0,0,2,0,2,1
"Frank Reich","Nick Sirianni",3,"OC",3,"OC",40,41.6,75,"IND","IND",2018,2022,2018,2020,3,1,1,1,1,1,1,1
"Fred O'Connor","Frank Gansz",2,"aOC",1,"aSTC",1,1.5,7,"SF","SF",1978,1978,1978,1978,1,2,0,0,1,0,3,0
"Fred O'Connor","Les Steckel",1,"aOC",1,"aOC",1,1.5,7,"SF","SF",1978,1978,1978,1978,1,1,0,0,1,0,1,0
"Fred O'Connor","Mike White",1,"aOC",1,"aOC",1,1.5,7,"SF","SF",1978,1978,1978,1978,1,1,0,0,1,0,1,0
"Gary Kubiak","Kyle Shanahan",4,"aOC",2,"OC",82,80.68,157,"HOU","DEN",2006,2016,2006,2009,4,1,1,1,1,0,1,1
"Gary Kubiak","Matt LaFleur",2,"aOC",2,"aOC",82,80.68,157,"HOU","DEN",2006,2016,2008,2009,2,1,1,1,1,0,1,0
"Gary Kubiak","Robert Saleh",5,"aDC",5,"aDC",82,80.68,157,"HOU","DEN",2006,2016,2006,2010,5,1,1,1,2,0,2,0
"Gary Kubiak","Vance Joseph",3,"aDC",3,"aDC",82,80.68,157,"HOU","DEN",2006,2016,2011,2013,3,1,1,1,2,0,2,0
"Gary Moeller","Jim Zorn",1,"aOC",1,"aOC",4,4.07,7,"DET","DET",2000,2000,2000,2000,1,1,1,1,1,0,1,0
"Gene Stallings","Hank Kuhlmann",3,"aOC",3,"aOC",23,22.19,58,"ARI","ARI",1986,1989,1986,1988,3,1,0,0,1,0,1,0
"George Allen","Dick Vermeil",1,"aSTC",1,"aSTC",116,117.97,168,"LA","WAS",1966,1977,1969,1969,1,1,1,1,3,0,3,0
"George Allen","Howard Schnellenberger",4,"aOC",4,"aOC",116,117.97,168,"LA","WAS",1966,1977,1966,1969,4,1,1,1,1,0,1,0
"George Allen","Jack Patera",1,"aDC",1,"aDC",116,117.97,168,"LA","WAS",1966,1977,1966,1966,1,1,1,1,2,0,2,0
"George Allen","Joe Walton",4,"aOC",4,"aOC",116,117.97,168,"LA","WAS",1966,1977,1974,1977,4,1,1,1,1,0,1,0
"George Allen","Marion Campbell",2,"aDC",2,"aDC",116,117.97,168,"LA","WAS",1966,1977,1967,1968,2,1,1,1,2,0,2,0
"George Allen","Marv Levy",3,"aSTC",3,"aSTC",116,117.97,168,"LA","WAS",1966,1977,1970,1972,3,1,1,1,3,0,3,0
"George Allen","Mike McCormack",2,"aOC",2,"aOC",116,117.97,168,"LA","WAS",1966,1977,1971,1972,2,1,1,1,1,0,1,0
"George Allen","Pete McCulley",1,"aOC",1,"aOC",116,117.97,168,"LA","WAS",1966,1977,1977,1977,1,1,1,1,1,0,1,0
"George Allen","Ted Marchibroda",9,"aOC",5,"OC",116,117.97,168,"LA","WAS",1966,1977,1966,1974,9,1,1,1,1,0,1,1
"George Halas","Abe Gibron",2,"aOC",2,"aOC",12,13.52,28,"CHI","CHI",1966,1967,1966,1967,2,1,0,0,1,0,1,0
"George Halas","Jim Dooley",2,"DC",2,"DC",12,13.52,28,"CHI","CHI",1966,1967,1966,1967,2,1,0,0,2,1,2,1
"George Seifert","Gary Kubiak",1,"aOC",1,"aOC",114,119.11,176,"SF","CAR",1989,2001,1994,1994,1,1,1,1,1,0,1,0
"George Seifert","Jeff Fisher",2,"aDC",2,"aDC",114,119.11,176,"SF","CAR",1989,2001,1992,1993,2,1,1,1,2,0,2,0
"George Seifert","Jon Gruden",1,"aOC",1,"aOC",114,119.11,176,"SF","CAR",1989,2001,1990,1990,1,1,1,1,1,0,1,0
"George Seifert","Marc Trestman",2,"OC",2,"OC",114,119.11,176,"SF","CAR",1989,2001,1995,1996,2,1,1,1,1,1,1,1
"George Seifert","Mike Holmgren",3,"OC",3,"OC",114,119.11,176,"SF","CAR",1989,2001,1989,1991,3,1,1,1,1,1,1,1
"George Seifert","Mike McCoy",2,"aOC",2,"aOC",114,119.11,176,"SF","CAR",1989,2001,2000,2001,2,1,1,1,1,0,1,0
"George Seifert","Ray Rhodes",4,"aDC",3,"DC",114,119.11,176,"SF","CAR",1989,2001,1989,1994,4,1,1,1,2,0,2,1
"George Wilson","Ernie Hefferle",4,"aOC",4,"aOC",15,14.92,56,"MIA","MIA",1966,1969,1966,1969,4,1,0,0,1,0,1,0
"Gus Bradley","Robert Saleh",3,"aDC",3,"aDC",14,17.66,62,"JAX","JAX",2013,2016,2014,2016,3,1,0,0,2,0,2,0
"Hank Stram","Rich Kotite",1,"aOC",1,"aOC",87,93.17,154,"KC","NO",1966,1977,1977,1977,1,1,1,1,1,0,1,0
"Hank Stram","Sam Rutigliano",2,"aOC",2,"aOC",87,93.17,154,"KC","NO",1966,1977,1976,1977,2,1,1,1,1,0,1,0
"Harland Svare","Bum Phillips",1,"aDC",1,"aDC",7,8.06,26,"LAC","LAC",1971,1973,1971,1971,1,1,0,0,2,0,2,0
"Harland Svare","Forrest Gregg",1,"aOC",1,"aOC",7,8.06,26,"LAC","LAC",1971,1973,1973,1973,1,1,0,0,1,0,1,0
"Harland Svare","Ron Waller",1,"aSTC",1,"aSTC",7,8.06,26,"LAC","LAC",1971,1973,1972,1972,1,1,0,0,3,0,3,0
"Harry Gilmer","Joe Schmidt",1,"aDC",1,"aDC",4,3.71,14,"DET","DET",1966,1966,1966,1966,1,1,0,0,2,0,2,0
"Harry Gilmer","John North",1,"aOC",1,"aOC",4,3.71,14,"DET","DET",1966,1966,1966,1966,1,1,0,0,1,0,1,0
"Harvey Johnson","John Mazur",1,"aOC",1,"aOC",2,4.85,26,"BUF","BUF",1968,1971,1968,1968,1,1,0,0,1,0,1,0
"Harvey Johnson","Tom Flores",1,"aOC",1,"aOC",2,4.85,26,"BUF","BUF",1968,1971,1971,1971,1,1,0,0,1,0,1,0
"Herm Edwards","Doug Marrone",4,"aOC",4,"aOC",54,56.65,128,"NYJ","KC",2001,2008,2002,2005,4,1,0,0,1,0,1,0
"Homer Rice","Frank Gansz",2,"aOC",1,"aSTC",8,11.98,27,"CIN","CIN",1978,1979,1979,1979,1,2,0,0,1,0,3,0
"Howard Schnellenberger","Pete McCulley",2,"aOC",2,"aOC",4,3.98,17,"IND","IND",1973,1974,1973,1974,2,1,0,0,1,0,1,0
"Hue Jackson","Freddie Kitchens",2,"aOC",1,"OC",11,16.09,56,"LV","CLE",2011,2018,2018,2018,1,2,0,0,1,0,1,1
"Hugh Campbell","Jerry Glanville",2,"DC",2,"DC",8,7.38,30,"TEN","TEN",1984,1985,1984,1985,2,1,0,0,2,1,2,1
"J.D. Roberts","Ed Biles",1,"aDC",1,"aDC",7,8.98,35,"NO","NO",1970,1972,1970,1970,1,1,0,0,2,0,2,0
"J.D. Roberts","Ed Khayat",1,"aDC",1,"aDC",7,8.98,35,"NO","NO",1970,1972,1970,1970,1,1,0,0,2,0,2,0
"J.D. Roberts","Jerry Smith",1,"aDC",1,"aDC",7,8.98,35,"NO","NO",1970,1972,1970,1970,1,1,0,0,2,0,2,0
"Jack Christiansen","Bill Johnson",2,"aOC",2,"aOC",13,12.16,28,"SF","SF",1966,1967,1966,1967,2,1,0,0,1,0,1,0
"Jack Del Rio","Anthony Lynn",2,"aOC",2,"aOC",93,88.89,187,"JAX","LV",2003,2017,2003,2004,2,1,0,0,1,0,1,0
"Jack Del Rio","Dirk Koetter",5,"OC",5,"OC",93,88.89,187,"JAX","LV",2003,2017,2007,2011,5,1,0,0,1,1,1,1
"Jack Del Rio","Mike Smith",5,"DC",5,"DC",93,88.89,187,"JAX","LV",2003,2017,2003,2007,5,1,0,0,2,1,2,1
"Jack Pardee","Chris Palmer",3,"aOC",3,"aOC",87,89.52,164,"CHI","TEN",1975,1994,1990,1992,3,1,1,1,1,0,1,0
"Jack Pardee","Fred O'Connor",3,"aOC",3,"aOC",87,89.52,164,"CHI","TEN",1975,1994,1975,1977,3,1,1,1,1,0,1,0
"Jack Pardee","Gregg Williams",5,"aDC",4,"aDC",87,89.52,164,"CHI","TEN",1975,1994,1990,1994,5,1,1,1,2,0,2,0
"Jack Pardee","Jeff Fisher",1,"DC",1,"DC",87,89.52,164,"CHI","TEN",1975,1994,1994,1994,1,1,1,1,2,1,2,1
"Jack Pardee","Joe Walton",3,"OC",3,"OC",87,89.52,164,"CHI","TEN",1975,1994,1978,1980,3,1,1,1,1,1,1,1
"Jack Pardee","Kevin Gilbride",5,"OC",5,"OC",87,89.52,164,"CHI","TEN",1975,1994,1990,1994,5,1,1,1,1,1,1,1
"Jack Pardee","Mike Munchak",2,"aOC",1,"aOC",87,89.52,164,"CHI","TEN",1975,1994,1994,1994,1,2,1,1,1,0,1,0
"Jack Pardee","Richie Petitbon",3,"aDC",3,"aDC",87,89.52,164,"CHI","TEN",1975,1994,1978,1980,3,1,1,1,2,0,2,0
"Jack Patera","Jim Mora",4,"aDC",4,"aDC",35,34.87,94,"SEA","SEA",1976,1982,1978,1981,4,1,0,0,2,0,2,0
"Jay Gruden","Sean McVay",3,"OC",3,"OC",35,34.51,85,"WAS","WAS",2014,2019,2014,2016,3,1,0,0,1,1,1,1
"Jeff Fisher","Gregg Williams",6,"DC",4,"DC",173,168.13,339,"TEN","LA",1994,2016,1995,2000,6,1,0,1,2,1,2,1
"Jeff Fisher","Jim Schwartz",10,"DC",8,"DC",173,168.13,339,"TEN","LA",1994,2016,1999,2008,10,1,0,1,2,1,2,1
"Jeff Fisher","Mike Munchak",18,"aOC",16,"aOC",173,168.13,339,"TEN","LA",1994,2016,1995,2010,16,1.125,0,1,1,0,1,0
"Jerry Burns","Marc Trestman",3,"aOC",3,"aOC",52,58.29,95,"MIN","MIN",1986,1991,1986,1991,3,1,1,1,1,0,1,0
"Jerry Burns","Pete Carroll",4,"aDC",4,"aDC",52,58.29,95,"MIN","MIN",1986,1991,1986,1989,4,1,1,1,2,0,2,0
"Jerry Glanville","June Jones",5,"OC",3,"OC",60,58.11,127,"TEN","ATL",1986,1993,1987,1993,5,1,0,0,1,1,1,1
"Jerry Glanville","Kevin Gilbride",1,"OC",1,"OC",60,58.11,127,"TEN","ATL",1986,1993,1989,1989,1,1,0,0,1,1,1,1
"Jerry Glanville","Nick Saban",2,"aDC",2,"aDC",60,58.11,127,"TEN","ATL",1986,1993,1988,1989,2,1,0,0,2,0,2,0
"Jerry Williams","Marv Levy",1,"aSTC",1,"aSTC",7,9.15,31,"PHI","PHI",1969,1971,1969,1969,1,1,0,0,3,0,3,0
"Jim Caldwell","Frank Reich",3,"aOC",3,"aOC",62,55.79,112,"IND","DET",2009,2017,2009,2011,3,1,0,1,1,0,1,0
"Jim Dooley","Abe Gibron",4,"aDC",3,"aDC",20,18.86,56,"CHI","CHI",1968,1971,1968,1971,4,1,0,0,2,0,2,0
"Jim Dooley","Jim Ringo",3,"aOC",3,"aOC",20,18.86,56,"CHI","CHI",1968,1971,1969,1971,3,1,0,0,1,0,1,0
"Jim Fassel","John Fox",5,"DC",5,"DC",58,54.07,112,"NYG","NYG",1997,2003,1997,2001,5,1,0,1,2,1,2,1
"Jim Fassel","Sean Payton",4,"OC",3,"OC",58,54.07,112,"NYG","NYG",1997,2003,1999,2002,4,1,0,1,1,1,1,1
"Jim Hanifan","Rod Dowhower",2,"OC",2,"OC",39,37.57,93,"ARI","ATL",1980,1989,1983,1984,2,1,0,0,1,1,1,1
"Jim Harbaugh","Jim Tomsula",4,"aDC",4,"aDC",44,42.17,64,"SF","SF",2011,2014,2011,2014,4,1,1,1,2,0,2,0
"Jim Harbaugh","Vic Fangio",4,"DC",4,"DC",44,42.17,64,"SF","SF",2011,2014,2011,2014,4,1,1,1,2,1,2,1
"Jim Haslett","Ben McAdoo",2,"aOC",1,"aOC",47,45.75,108,"NO","LA",2000,2008,2004,2004,1,2,0,0,1,0,1,0
"Jim Haslett","Mike McCarthy",5,"OC",5,"OC",47,45.75,108,"NO","LA",2000,2008,2000,2004,5,1,0,0,1,1,1,1
"Jim Mora","Bruce Arians",4,"aOC",4,"aOC",156,153.79,295,"NO","SEA",1986,2009,1996,2000,4,1,1,1,1,0,1,0
"Jim Mora","Dan Quinn",1,"aDC",1,"aDC",156,153.79,295,"NO","SEA",1986,2009,2009,2009,1,1,1,1,2,0,2,0
"Jim Mora","Dennis Allen",2,"aDC",2,"aDC",156,153.79,295,"NO","SEA",1986,2009,2004,2005,2,1,1,1,2,0,2,0
"Jim Mora","Dom Capers",6,"aDC",6,"aDC",156,153.79,295,"NO","SEA",1986,2009,1986,1991,6,1,1,1,2,0,2,0
"Jim Mora","Gus Bradley",1,"DC",1,"DC",156,153.79,295,"NO","SEA",1986,2009,2009,2009,1,1,1,1,2,1,2,1
"Jim Mora","Jim Haslett",2,"aDC",1,"DC",156,153.79,295,"NO","SEA",1986,2009,1995,1996,2,1,1,1,2,0,2,1
"Jim Mora","Tom Cable",1,"aOC",1,"aOC",156,153.79,295,"NO","SEA",1986,2009,2006,2006,1,1,1,1,1,0,1,0
"Jim Mora","Vic Fangio",12,"aDC",9,"DC",156,153.79,295,"NO","SEA",1986,2009,1986,2001,12,1,1,1,2,0,2,1
"Jim Zorn","Arthur Smith",1,"aDC",1,"aDC",12,12.8,32,"WAS","WAS",2008,2009,2008,2008,1,1,0,0,2,0,2,0
"Jimmy Johnson","Butch Davis",6,"aDC",5,"DC",80,76.42,144,"DAL","MIA",1989,1999,1989,1993,5,1.2,1,1,2,0,2,1
"Jimmy Johnson","Dave Campo",5,"aDC",5,"aDC",80,76.42,144,"DAL","MIA",1989,1999,1989,1993,5,1,1,1,2,0,2,0
"Jimmy Johnson","Dave Wannstedt",4,"DC",4,"DC",80,76.42,144,"DAL","MIA",1989,1999,1989,1992,4,1,1,1,2,1,2,1
